"AppName","Version","Publisher","Type"
"Microsoft.XboxSpeechToTextOverlay","1.21.13002.0","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","Store"
"Microsoft.YourPhone","1.25072.79.0","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","Store"
"Microsoft.ZuneMusic","11.2601.11.0","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","Store"
"Microsoft.ZuneVideo","10.25121.10051.0","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","Store"
"MicrosoftCorporationII.WinAppRuntime.Main.1.5","5001.373.1736.0","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","Store"
"MicrosoftCorporationII.WinAppRuntime.Singleton","8000.806.2252.0","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","Store"
"MicrosoftCorporationII.Windows365","2.0.1069.0","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","Store"
"MicrosoftWindows.Client.CBS","1000.19062.1000.0","CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","Store"
"MicrosoftWindows.CrossDevice","0.25072.59.0","CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","Store"
"MicrosoftWindows.UndockedDevKit","10.0.19041.4239","CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","Store"
"Mozilla Firefox (x64 en-US)","149.0.2","Mozilla","Desktop"
"Mozilla Maintenance Service","135.0","Mozilla","Desktop"
"MSTeams","26072.519.4556.7438","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","Store"
"MSYS2","20251213","The MSYS2 Developers","Desktop"
"MuMuPlayer","5.24.2.3266","Netease","Desktop"
"NcsiUwpApp","1000.19041.4239.0","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","Store"
"Notepad++ (64-bit x64)","8.8.1","Notepad++ Team","Desktop"
"NvCpl","1.0","NVIDIA Corporation","Desktop"
"NVIDIA AIUser Container","1.44","NVIDIA Corporation","Desktop"
"NVIDIA App 11.0.5.420","11.0.5.420","NVIDIA Corporation","Desktop"
"NVIDIA Backend","11.0.5.420","NVIDIA Corporation","Desktop"
"NVIDIA Container","1.44","NVIDIA Corporation","Desktop"
"NVIDIA FrameView SDK 1.5.11504.36206172","1.5.11504.36206172","NVIDIA Corporation","Desktop"
"NVIDIA Graphics Driver 582.28","582.28","NVIDIA Corporation","Desktop"
"NVIDIA Install Application","2.1002.438.0","NVIDIA Corporation","Desktop"
"NVIDIA LocalSystem Container","1.44","NVIDIA Corporation","Desktop"
"NVIDIA MessageBus 3 for NvApp","3.16","NVIDIA Corporation","Desktop"
"NVIDIA NvDLISR","1.0","NVIDIA Corporation","Desktop"
"NVIDIA PhysX System Software 9.23.1019","9.23.1019","NVIDIA Corporation","Desktop"
"NVIDIA Session Container","1.44","NVIDIA Corporation","Desktop"
"NVIDIA ShadowPlay 11.0.5.400","11.0.5.400","NVIDIA Corporation","Desktop"
"NVIDIA Telemetry Client","19.4.29.0","NVIDIA Corporation","Desktop"
"NVIDIA User Container","1.44","NVIDIA Corporation","Desktop"
"NVIDIA Virtual Audio 4.65.0.3","4.65.0.3","NVIDIA Corporation","Desktop"
"NVIDIA Virtual Host Controller","3.05.0.1","NVIDIA Corporation","Desktop"
"NVIDIA Watchdog Plugin for NvContainer","1.44","NVIDIA Corporation","Desktop"
"NVIDIACorp.NVIDIAControlPanel","8.1.969.0","CN=D6816951-877F-493B-B4EE-41AB9419C326","Store"
"OBS Studio","32.0.4","OBS Project","Desktop"
"Ookla.SpeedtestbyOokla","1.18.194.0","CN=D01B1733-EEB2-4D57-8B6B-B0FEE2F6925D","Store"
"OpenShot Video Editor 3.3.0","3.3.0","OpenShot Studios, LLC","Desktop"
"OpenVPN 2.6.9-I001 amd64","2.6.901","OpenVPN, Inc.","Desktop"
"Oracle VirtualBox 7.2.6","7.2.6","Oracle and/or its affiliates","Desktop"
"Perplexity 1.3.0","1.3.0","Perplexity","Desktop"
"Python 3.13.3 (64-bit)","3.13.3150.0","Python Software Foundation","Desktop"
"Python 3.13.3 Add to Path (64-bit)","3.13.3150.0","Python Software Foundation","Desktop"
"Python 3.13.3 Core Interpreter (64-bit)","3.13.3150.0","Python Software Foundation","Desktop"
"Python 3.13.3 Development Libraries (64-bit)","3.13.3150.0","Python Software Foundation","Desktop"
"Python 3.13.3 Documentation (64-bit)","3.13.3150.0","Python Software Foundation","Desktop"
"Python 3.13.3 Executables (64-bit)","3.13.3150.0","Python Software Foundation","Desktop"
"Python 3.13.3 pip Bootstrap (64-bit)","3.13.3150.0","Python Software Foundation","Desktop"
"Python 3.13.3 Standard Library (64-bit)","3.13.3150.0","Python Software Foundation","Desktop"
"Python 3.13.3 Tcl/Tk Support (64-bit)","3.13.3150.0","Python Software Foundation","Desktop"
"Python 3.13.3 Test Suite (64-bit)","3.13.3150.0","Python Software Foundation","Desktop"
"Python Launcher","3.13.3150.0","Python Software Foundation","Desktop"
"Realtek Audio Driver","6.0.9239.1","Realtek Semiconductor Corp.","Desktop"
"SpotifyAB.SpotifyMusic","1.286.502.0","CN=453637B3-4E12-4CDF-B0D3-2A3C863BF6EF","Store"
"Steam","2.10.91.91","Valve Corporation","Desktop"
"Streaming Center PLUG version 2.4.14","2.4.14","AVerMedia Technologies, Inc.","Desktop"
"Subtitle Edit","4.0.8.0","Nikse","Desktop"
"TelegramMessengerLLP.TelegramDesktop","6.7.5.0","CN=536BC709-8EE1-4478-AF22-F0F0F26FF64A","Store"
"Thunderbolt™ Software","17.4.80.550","Intel Corporation","Desktop"
"Tom Clancy's The Division 2",,"Ubisoft","Desktop"
"Tom Clancy's The Division 2 - Test Server",,"","Desktop"
"Ubisoft Connect","170.1.13122","Ubisoft","Desktop"
"UltraVNC","1.6.4.0","uvnc bvba","Desktop"
"Update for x64-based Windows Systems (KB5001716)","8.94.0.0","Microsoft Corporation","Desktop"
"VirtViewer 11.0-256 (64-bit)","11.0.256","Virt Viewer Project","Desktop"
"VMware Workstation","17.6.3","VMware, Inc.","Desktop"
"WinDirStat","2.2.2","WinDirStat Team","Desktop"
"Windows.CBSPreview","10.0.19041.4239","CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","Store"
"windows.immersivecontrolpanel","10.0.2.1000","CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","Store"
"Windows.PrintDialog","6.2.1.0","CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","Store"
"WinSCP 6.5.2","6.5.2","Martin Prikryl","Desktop"
"Zoom Workplace","6.7.8 (32670)","Zoom Communications, Inc.","Desktop"
